School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,School Name [Public School] 2012-13,School ID - NCES Assigned [Public School] Latest available year,Agency Name [Public School] 2012-13,Agency ID - NCES Assigned [Public School] Latest available year,County Name [Public School] 2012-13,County Number [Public School] 2012-13,Race/Ethnicity Category [Public School] 2012-13,ANSI/FIPS State Code [Public School] Latest available year,Years School Reported Data [Public School] Latest available year,Years School Did Not Report Data [Public School] Latest available year,Location City [Public School] 2014-15,Location State Abbr [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location Address 1 [Public School] 2014-15,School Type [Public School] 2012-13,Agency Type [District] 2012-13,Start of Year Status [Public School] 2012-13,Charter School [Public School] 2012-13
MILK (HARVEY) CIVIL RIGHTS ELEMENTARY,California,CA ,MILK (HARVEY) CIVIL RIGHTS ELEMENTARY,063441005601,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94114,4235 19TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILL ELEMENTARY,California,CA ,MILL ELEMENTARY,064245006943,WHITTIER CITY ELEM,0642450,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,WHITTIER,CA ,90601,4030 S. WORKMAN MILL RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILL STREET ELEMENTARY,California,CA ,MILL STREET ELEMENTARY,060004507092,ORLAND JOINT UNF,0600045,TEHAMA COUNTY,06103,Reported 7 categories,06,1997-2014,1986-1996,ORLAND,CA ,95963,102 SECOND ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILL VALLEY MIDDLE,California,CA ,MILL VALLEY MIDDLE,062487003712,MILL VALLEY ELEM,0624870,MARIN COUNTY,06041,Reported 7 categories,06,1986-2014,,MILL VALLEY,CA ,94941,425 SYCAMORE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLARD MCCOLLAM ELEMENTARY,California,CA ,MILLARD MCCOLLAM ELEMENTARY,060231000112,ALUM ROCK UNION ELEM,0602310,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95127,3311 LUCIAN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLBROOK ELEMENTARY,California,CA ,MILLBROOK ELEMENTARY,061314008836,EVERGREEN ELEM,0613140,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95148,3200 MILLBROOK DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLENNIAL TECH MIDDLE,California,CA ,MILLENNIAL TECH MIDDLE,063432012376,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,2008-2014,1986-2007,SAN DIEGO,CA ,92102,1110 CAROLINA LN.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLENNIUM CHARTER,California,CA ,MILLENNIUM CHARTER,060004711426,TRACY JOINT UNF,0600047,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2004-2014,1986-2003,TRACY,CA ,95376,51 E. BEVERLY PL.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
MILLENNIUM HIGH ALTERNATIVE,California,CA ,MILLENNIUM HIGH ALTERNATIVE,063033007819,PIEDMONT CITY UNF,0630330,ALAMEDA COUNTY,06001,Reported 7 categories,06,1986-2014,,PIEDMONT,CA ,94611,760 MAGNOLIA AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLER (ISAAC) ELEMENTARY,California,CA ,MILLER (ISAAC) ELEMENTARY,060558009319,SANTA MARIA-BONITA,0605580,SANTA BARBARA COUNTY,06083,Reported 7 categories,06,1988-2014,1986-1987,SANTA MARIA,CA ,93454,410 E. CAMINO COLEGIO,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLER CREEK MIDDLE,California,CA ,MILLER CREEK MIDDLE,061122001247,DIXIE ELEM,0611220,MARIN COUNTY,06041,Reported 7 categories,06,1986-2014,,SAN RAFAEL,CA ,94903,2255 LAS GALLINAS AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLER ELEMENTARY,California,CA ,MILLER ELEMENTARY,061288001460,ESCONDIDO UNION,0612880,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,ESCONDIDO,CA ,92025,1975 MILLER AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLER ELEMENTARY,California,CA ,MILLER ELEMENTARY,063432005519,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92124,4343 SHIELDS ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLER'S HILL,California,CA ,MILLER'S HILL,062118008151,LATROBE,0621180,EL DORADO COUNTY,06017,Reported 7 categories,06,1986-2014,,SHINGLE SPRINGS,CA ,95682,7900 S. SHINGLE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLER FRED C. CAMP,California,CA ,MILLER FRED C. CAMP,069107812732,LOS ANGELES COUNTY OFFICE OF EDUCATION,0691078,LOS ANGELES COUNTY,06037,Reported 7 categories,06,2010-2014,1986-2009,MALIBU,CA ,90265,433 S. ENCINAL CANYON RD.,4-Alternative/other school,4-Regional Education Service Agency (RESA),1-Currently operational ,2-No
MILLIKAN HIGH,California,CA ,MILLIKAN HIGH,062250002745,LONG BEACH UNF,0622500,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LONG BEACH,CA ,90815,2800 SNOWDEN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLIKIN ELEMENTARY,California,CA ,MILLIKIN ELEMENTARY,063543006044,SANTA CLARA UNF,0635430,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SANTA CLARA,CA ,95051,615 HOBART TERRACE,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLS HIGH,California,CA ,MILLS HIGH,063498005924,SAN MATEO UNION HIGH,0634980,SAN MATEO COUNTY,06081,Reported 7 categories,06,1986-2014,,MILLBRAE,CA ,94030,400 MURCHISON DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLS MIDDLE,California,CA ,MILLS MIDDLE,061389001576,FOLSOM-CORDOVA UNF,0613890,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,RANCHO CORDOVA,CA ,95670,10439 COLOMA RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLSWOOD MIDDLE,California,CA ,MILLSWOOD MIDDLE,062223011414,LODI UNF,0622230,SAN JOAQUIN COUNTY,06077,Reported 7 categories,06,2004-2014,1986-2003,LODI,CA ,95242,233 N. MILLS,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLVIEW ELEMENTARY,California,CA ,MILLVIEW ELEMENTARY,062334003550,MADERA UNF,0623340,MADERA COUNTY,06039,Reported 7 categories,06,1986-2014,,MADERA,CA ,93638,1609 CLINTON ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILLVILLE ELEMENTARY,California,CA ,MILLVILLE ELEMENTARY,062493003723,MILLVILLE ELEM,0624930,SHASTA COUNTY,06089,Reported 7 categories,06,1986-2014,,MILLVILLE,CA ,96062,8570 BROOKDALE RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILOR CONTINUATION HIGH,California,CA ,MILOR CONTINUATION HIGH,063237007338,RIALTO UNF,0632370,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,RIALTO,CA ,92376,266 W. RANDALL,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MILPITAS HIGH,California,CA ,MILPITAS HIGH,062450003666,MILPITAS UNF,0624500,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,MILPITAS,CA ,95035,1285 ESCUELA PKWY.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MINARETS HIGH,California,CA ,MINARETS HIGH,060011612212,CHAWANAKEE UNF,0600116,MADERA COUNTY,06039,Reported 7 categories,06,2008-2014,1986-2007,O'NEALS,CA ,93645,45077 RD. 200,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MINER (GEORGE) ELEMENTARY,California,CA ,MINER (GEORGE) ELEMENTARY,062781004217,OAK GROVE ELEM,0627810,SANTA CLARA COUNTY,06085,Reported 7 categories,06,1986-2014,,SAN JOSE,CA ,95123,5629 LEAN AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MINERAL ELEMENTARY,California,CA ,MINERAL ELEMENTARY,062502003724,MINERAL ELEM,0625020,TEHAMA COUNTY,06103,Reported 7 categories,06,1986-2012,2013-2014,,,,,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MINERAL KING ELEMENTARY,California,CA ,MINERAL KING ELEMENTARY,064116006799,VISALIA UNF,0641160,TULARE COUNTY,06107,Reported 7 categories,06,1986-2014,,VISALIA,CA ,93292,3333 E. KAWEAH AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MINNIE CANNON ELEMENTARY,California,CA ,MINNIE CANNON ELEMENTARY,062475003706,MIDDLETOWN UNF,0624750,LAKE COUNTY,06033,Reported 7 categories,06,1986-2014,,MIDDLETOWN,CA ,95461,15846 WARDLAW ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MINT CANYON COMMUNITY ELEMENTARY,California,CA ,MINT CANYON COMMUNITY ELEMENTARY,063822006447,SULPHUR SPRINGS UNION,0638220,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,CANYON COUNTRY,CA ,91351,16400 SIERRA HWY.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MINTIE WHITE ELEMENTARY,California,CA ,MINTIE WHITE ELEMENTARY,062949004546,PAJARO VALLEY UNF,0629490,SANTA CRUZ COUNTY,06087,Reported 7 categories,06,1986-2014,,WATSONVILLE,CA ,95076,515 PALM AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA CATALINA ELEMENTARY,California,CA ,MIRA CATALINA ELEMENTARY,062970004612,PALOS VERDES PENINSULA UNF,0629700,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,RANCHO PALOS VERDES,CA ,90275,30511 LUCANIA DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA COSTA HIGH,California,CA ,MIRA COSTA HIGH,060002506328,MANHATTAN BEACH UNF,0600025,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1993-2014,1986-1992,MANHATTAN BEACH,CA ,90266,1401 ARTESIA BLVD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA LOMA HIGH,California,CA ,MIRA LOMA HIGH,063462005799,SAN JUAN UNF,0634620,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,SACRAMENTO,CA ,95821,4000 EDISON AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA LOMA MIDDLE,California,CA ,MIRA LOMA MIDDLE,061926004980,JURUPA UNF,0619260,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1995-2014,1986-1994,JURUPA VALLEY,CA ,92509,5051 STEVE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA MESA HIGH,California,CA ,MIRA MESA HIGH,063432005520,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92126,10510 REAGAN RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA MONTE ELEMENTARY,California,CA ,MIRA MONTE ELEMENTARY,062827004378,OJAI UNF,0628270,VENTURA COUNTY,06111,Reported 7 categories,06,1986-2014,,OJAI,CA ,93023,1216 LOMA DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA MONTE HIGH,California,CA ,MIRA MONTE HIGH,061954012155,KERN UNION HIGH,0619540,KERN COUNTY,06029,Reported 7 categories,06,2007-2014,1986-2006,BAKERSFIELD,CA ,93307,1800 S. FAIRFAX RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA MONTE HIGH (ALTERNATIVE),California,CA ,MIRA MONTE HIGH (ALTERNATIVE),063386007199,SADDLEBACK VALLEY UNF,0633860,ORANGE COUNTY,06059,Reported 7 categories,06,1997-2014,1986-1996,MISSION VIEJO,CA ,92691,25632 DISENO DR.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRA VISTA ELEMENTARY,California,CA ,MIRA VISTA ELEMENTARY,063255005044,WEST CONTRA COSTA UNF,0632550,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1986-2014,,RICHMOND,CA ,94805,6397 HAZEL AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRALESTE INTERMEDIATE,California,CA ,MIRALESTE INTERMEDIATE,062970004620,PALOS VERDES PENINSULA UNF,0629700,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,RANCHO PALOS VERDES,CA ,90275,29323 PALOS VERDES DR. E.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRALESTE KINDERGARTEN,California,CA ,MIRALESTE KINDERGARTEN,062970005904,PALOS VERDES PENINSULA UNF,0629700,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1996-2014,1986-1995,RANCHO PALOS VERDES,CA ,90275,6245 VIA CANADA,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRALOMA ELEMENTARY,California,CA ,MIRALOMA ELEMENTARY,063441005648,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94127,175 OMAR WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRAMAR RANCH ELEMENTARY,California,CA ,MIRAMAR RANCH ELEMENTARY,063432005521,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92131,10770 RED CEDAR DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRAMONTE ELEMENTARY,California,CA ,MIRAMONTE ELEMENTARY,062271003188,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,LOS ANGELES,CA ,90001,1400 E. 68TH ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRAMONTE ELEMENTARY,California,CA ,MIRAMONTE ELEMENTARY,060903000914,CLOVIS UNF,0609030,FRESNO COUNTY,06019,Reported 7 categories,06,1986-2014,,CLOVIS,CA ,93611,1590 BELLAIRE AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRAMONTE ELEMENTARY,California,CA ,MIRAMONTE ELEMENTARY,062619003917,MOUNTAIN VIEW ELEM,0626190,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,EL MONTE,CA ,91732,10620 SCHMIDT RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRAMONTE HIGH,California,CA ,MIRAMONTE HIGH,060165000036,ACALANES UNION HIGH,0601650,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1986-2014,,ORINDA,CA ,94563,750 MORAGA WAY,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MIRUS SECONDARY,California,CA ,MIRUS SECONDARY,060001411899,HESPERIA UNF,0600014,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2006-2014,1986-2005,HESPERIA,CA ,92345,14073 MAIN ST. STE. 103,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,1-Yes
MISSION AVENUE OPEN ELEMENTARY,California,CA ,MISSION AVENUE OPEN ELEMENTARY,063462005800,SAN JUAN UNF,0634620,SACRAMENTO COUNTY,06067,Reported 7 categories,06,1986-2014,,CARMICHAEL,CA ,95608,2925 MISSION AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION BAY HIGH,California,CA ,MISSION BAY HIGH,063432005522,SAN DIEGO UNF,0634320,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,SAN DIEGO,CA ,92109,2475 GRAND AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION BELL ELEMENTARY,California,CA ,MISSION BELL ELEMENTARY,061926002313,JURUPA UNF,0619260,RIVERSIDE COUNTY,06065,Reported 7 categories,06,1986-2014,,JURUPA VALLEY,CA ,92509,4020 CONNING ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION COMMUNITY DAY,California,CA ,MISSION COMMUNITY DAY,060969012716,CORCORAN JOINT UNF,0609690,KINGS COUNTY,06031,Reported 7 categories,06,2010-2014,1986-2009,CORCORAN,CA ,93212,1128 S. DAIRY AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION CONTINUATION,California,CA ,MISSION CONTINUATION,062271003189,LOS ANGELES UNF,0622710,LOS ANGELES COUNTY,06037,Reported 7 categories,06,1986-2014,,SAN FERNANDO,CA ,91340,11015 O'MELVENY AVE.,4-Alternative/other school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION CREST ELEMENTARY,California,CA ,MISSION CREST ELEMENTARY,060001412171,HESPERIA UNF,0600014,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,2007-2014,1986-2006,HESPERIA,CA ,92345,13065 MUSCATEL ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION EDUCATION CENTER,California,CA ,MISSION EDUCATION CENTER,063441005649,SAN FRANCISCO UNF,0634410,SAN FRANCISCO COUNTY,06075,Reported 7 categories,06,1986-2014,,SAN FRANCISCO,CA ,94131,1670 NOE ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION ELEMENTARY,California,CA ,MISSION ELEMENTARY,062511003725,MISSION UNION ELEM,0625110,MONTEREY COUNTY,06053,Reported 7 categories,06,1986-2014,,SOLEDAD,CA ,93960,36825 FOOTHILL RD.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION ELEMENTARY,California,CA ,MISSION ELEMENTARY,062847004407,ONTARIO-MONTCLAIR ELEM,0628470,SAN BERNARDINO COUNTY,06071,Reported 7 categories,06,1986-2014,,ONTARIO,CA ,91762,5555 HOWARD ST.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION ELEMENTARY,California,CA ,MISSION ELEMENTARY,062825004365,OCEANSIDE UNF,0628250,SAN DIEGO COUNTY,06073,Reported 7 categories,06,1986-2014,,OCEANSIDE,CA ,92058,2100 MISSION AVE.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
MISSION ELEMENTARY,California,CA ,MISSION ELEMENTARY,060285000215,ANTIOCH UNF,0602850,CONTRA COSTA COUNTY,06013,Reported 7 categories,06,1986-2014,,ANTIOCH,CA ,94509,1711 MISSION DR.,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Currently operational ,2-No
